No,지역,지역,지역,2024년 3분기,2024년 4분기,2025년 1분기,2025년 2분기,2025년 3분기,2025년 4분기,2026년 1분기
No,지역,지역,지역,공실률,공실률,공실률,공실률,공실률,공실률,공실률
No,지역,지역,지역,%,%,%,%,%,%,%
75,부산,부산대학앞,부산대학앞,23.4,23.4,25.2,21.2,18.8,18.8,18.8
76,부산,부산역,부산역,2.3,2.3,2.3,2.3,2.3,2.3,2.3
77,부산,부전시장,부전시장,17.1,17.1,18.2,18.3,17.1,17.1,17.1
78,부산,사상역,사상역,5.3,5.3,5.3,5.3,8.6,8.6,5.9
79,부산,사직야구장,사직야구장,2.4,2.4,2.4,2.4,2.4,0.0,0.0
80,부산,서면/전포,서면/전포,4.7,1.5,0.0,1.2,5.0,4.2,4.1
81,부산,송정해수욕장,송정해수욕장,0.7,0.7,7.2,0.7,0.7,0.7,0.7
82,부산,수영역,수영역,5.1,5.1,5.1,5.1,5.1,5.1,5.1
83,부산,연산로터리,연산로터리,3.0,3.0,3.0,3.0,6.5,3.0,3.0
84,부산,온천장,온천장,1.7,1.7,1.7,1.7,11.9,10.4,10.4
85,부산,하단역,하단역,9.0,9.0,9.0,0.0,0.0,0.0,0.0
86,부산,해운대,해운대,6.6,5.2,9.5,9.5,8.1,6.0,8.7
87,부산,현대백화점주변,현대백화점주변,2.1,0.0,0.0,8.4,10.0,7.0,2.0
88,대구,대구,대구,7.7,9.0,8.2,8.7,9.1,9.8,10.4
89,대구,경북대북문,경북대북문,0.0,1.7,0.0,3.4,3.4,8.1,8.1
90,대구,동대구,동대구,13.2,13.2,8.0,8.0,8.0,8.0,8.0
91,대구,동성로중심,동성로중심,11.1,11.1,13.4,13.4,11.5,15.0,17.0
92,대구,두류감삼역,두류감삼역,2.1,2.1,1.5,3.2,6.3,4.6,2.5
93,대구,들안길,들안길,3.6,3.6,3.6,10.8,7.6,7.6,7.6
94,대구,삼덕/대봉,삼덕/대봉,3.2,11.0,4.2,1.5,1.6,3.8,4.1
95,대구,상인/월배,상인/월배,0.0,0.0,0.0,0.0,6.1,6.1,6.6
96,대구,서문시장/청라언덕,서문시장/청라언덕,11.8,10.1,10.1,10.1,10.1,10.1,10.1
97,대구,수성범어,수성범어,17.1,20.2,20.8,18.2,18.2,19.4,19.4
98,대구,시지지구,시지지구,8.2,8.2,8.2,8.2,8.2,8.2,11.3
99,대구,월촌/안지랑,월촌/안지랑,6.4,6.4,6.4,6.4,5.2,10.5,13.0
100,대구,죽전역,죽전역,14.9,14.9,14.9,14.9,14.9,14.9,14.9
101,대구,칠곡,칠곡,24.4,24.4,17.0,12.4,12.4,0.0,0.0
102,인천,인천,인천,7.3,7.0,10.4,10.4,11.3,11.8,10.4
103,인천,간석오거리,간석오거리,6.5,5.0,3.4,3.4,3.4,5.5,5.5
104,인천,검단사거리완정역,검단사거리완정역,11.8,7.7,7.7,7.7,11.8,13.7,11.8
105,인천,계양계산,계양계산,0.0,0.0,0.0,0.0,2.2,2.2,2.2
106,인천,구월,구월,3.5,22.4,44.4,34.0,34.0,34.0,15.1
107,인천,부평,부평,5.4,5.4,10.1,15.4,16.2,15.9,14.1
108,인천,석남/가정중앙시장,석남/가정중앙시장,7.8,7.8,7.8,7.8,7.8,7.8,9.6
109,인천,신포동,신포동,10.2,10.2,16.8,20.4,21.4,19.2,17.7
110,인천,인천서구청,인천서구청,0.0,0.0,0.0,0.0,6.6,6.6,6.6
111,인천,주안,주안,9.8,9.8,17.3,11.5,11.5,11.5,11.5
112,광주,광주,광주,7.8,6.9,6.7,7.5,9.4,9.2,9.5
113,광주,금남로/충장로,금남로/충장로,15.3,11.2,10.1,13.6,15.0,13.8,18.6
114,광주,금호지구,금호지구,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,광주,봉선동,봉선동,0.0,0.0,0.0,0.0,0.0,5.6,5.6
116,광주,상무지구,상무지구,0.0,0.0,0.0,0.0,6.9,0.0,0.0
117,광주,송정동지구,송정동지구,8.7,7.9,5.8,5.8,6.3,6.3,6.3
118,광주,양산지구,양산지구,8.6,8.6,8.6,5.6,5.6,5.6,5.6
119,광주,용봉동,용봉동,8.4,2.7,2.7,6.2,6.2,3.5,3.5
120,광주,월산동지구,월산동지구,4.3,4.3,9.9,9.9,12.8,9.1,7.6
121,광주,전남대,전남대,19.7,19.7,19.7,19.7,27.4,34.4,42.4
122,광주,첨단1지구,첨단1지구,0.0,0.0,0.0,0.0,8.4,8.4,6.0
123,대전,대전,대전,7.1,8.1,9.1,8.7,9.8,8.2,6.4
124,대전,노은,노은,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,대전,대전원도심,대전원도심,8.1,8.1,11.0,10.5,10.5,8.1,8.1
126,대전,복합터미널,복합터미널,11.7,11.7,11.7,11.7,14.5,14.5,14.5
127,대전,서대전네거리,서대전네거리,6.5,6.5,6.5,6.5,6.5,6.5,6.5
128,대전,용문/한민시장,용문/한민시장,14.9,15.4,16.9,14.6,15.2,16.4,6.2
129,대전,유성온천역,유성온천역,4.8,6.7,6.7,6.7,4.8,4.8,6.2
130,울산,울산,울산,6.4,6.6,6.3,6.5,6.2,5.8,6.5
131,울산,삼산동,삼산동,2.8,2.8,1.8,3.5,4.5,4.2,4.5
132,울산,성남옥교동,성남옥교동,9.1,10.1,10.1,6.2,5.3,3.0,6.6
133,울산,신정동,신정동,2.6,2.6,2.6,1.9,2.8,2.8,1.9
134,울산,울산농소,울산농소,22.7,22.7,18.5,20.7,20.7,20.1,20.1
135,울산,울산대,울산대,27.3,27.3,27.3,27.3,23.8,23.8,23.8
136,울산,전하동,전하동,11.1,11.1,14.4,13.8,10.6,10.6,10.6
137,세종,세종,세종,11.5,8.4,6.5,6.5,5.7,5.7,10.5
138,세종,조치원,조치원,8.0,10.1,6.7,6.7,6.7,6.7,6.7
139,경기,경기,경기,5.8,6.1,6.9,6.7,6.9,7.3,8.3
140,경기,고양시청,고양시청,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,경기,광명철산,광명철산,3.6,3.6,3.6,3.6,3.6,3.6,5.6
142,경기,광주시가지,광주시가지,7.4,8.3,6.5,2.9,2.0,3.8,10.4
143,경기,구리역,구리역,0.0,0.0,1.3,1.3,0.0,0.0,3.6
144,경기,기흥역,기흥역,3.2,3.2,3.2,9.6,3.2,3.2,10.4
145,경기,김량장동,김량장동,0.0,0.0,0.0,1.5,1.5,7.3,5.8
146,경기,동두천중앙로,동두천중앙로,11.8,11.8,12.7,10.5,11.9,18.2,18.2
147,경기,모란,모란,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,경기,병점역,병점역,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,경기,부천역,부천역,4.4,4.4,2.9,2.4,3.6,4.2,3.3
150,경기,성남구시가지,성남구시가지,9.6,9.6,11.2,9.6,13.7,13.5,11.4
151,경기,수원역,수원역,5.0,5.0,5.0,2.2,2.2,2.2,2.2
152,경기,수원파장동,수원파장동,11.7,11.7,25.0,25.0,9.7,9.7,9.7
153,경기,신장/지산/서정,신장/지산/서정,5.7,7.3,11.1,7.5,6.6,6.6,3.9
154,경기,신천역,신천역,22.2,22.2,14.8,14.8,17.4,17.6,17.7
155,경기,안성 서인사거리,안성 서인사거리,14.7,17.8,17.8,18.2,18.2,19.8,19.8
156,경기,안양역,안양역,4.1,4.1,7.2,7.2,7.2,7.3,7.3
157,경기,양주덕정역,양주덕정역,12.4,8.0,5.8,18.1,23.3,17.8,20.1
158,경기,여주시청,여주시청,12.2,14.1,14.1,9.7,9.7,14.6,15.9
159,경기,오산시청,오산시청,0.0,0.0,8.5,8.5,4.2,4.2,0.0
160,경기,용인수지,용인수지,3.7,3.7,7.4,3.7,3.7,3.7,3.7
161,경기,의정부역,의정부역,8.2,6.5,8.2,8.4,13.2,15.1,16.5
162,경기,이천종합터미널,이천종합터미널,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,경기,인계동,인계동,2.2,2.2,2.2,2.2,2.2,0.0,0.0
164,경기,인덕원,인덕원,9.7,9.7,9.7,9.7,9.7,16.2,9.7
165,경기,탄현역,탄현역,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,경기,파주시청,파주시청,9.1,18.1,15.9,15.9,19.3,10.9,7.5
167,경기,팔달문로터리,팔달문로터리,15.5,14.5,14.0,11.6,14.5,14.5,19.8
168,경기,평택역,평택역,5.6,5.6,5.6,7.9,7.9,9.0,9.0
169,경기,포천소흘읍,포천소흘읍,8.1,8.1,8.1,10.0,8.1,9.5,11.9
170,경기,포천시외버스터미널,포천시외버스터미널,9.4,9.4,9.3,14.3,19.2,19.2,37.1
171,경기,하남원도심,하남원도심,0.0,0.0,1.3,1.3,1.3,1.3,1.3
172,경기,화성남양읍,화성남양읍,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,경기,화성봉담읍,화성봉담읍,1.4,0.0,5.5,9.3,1.4,1.4,1.4
174,강원,강원,강원,7.0,5.9,5.9,6.5,6.5,7.8,8.3
175,강원,강릉교동,강릉교동,0.0,0.0,8.3,8.3,8.3,8.3,0.0
176,강원,강릉중부,강릉중부,9.4,8.3,8.3,9.1,10.3,10.3,9.8
177,강원,묵호항,묵호항,15.1,5.9,5.9,5.9,5.9,5.9,10.0
178,강원,삼척중앙시장,삼척중앙시장,7.0,2.4,2.4,2.4,2.4,2.4,2.4
179,강원,속초중앙시장,속초중앙시장,7.8,7.8,7.8,13.1,13.1,13.1,13.1
180,강원,영월경찰서,영월경찰서,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,강원,원주중앙/일산,원주중앙/일산,9.9,12.0,6.9,6.9,6.8,6.1,9.2
182,강원,주문진항,주문진항,9.9,9.9,9.9,9.9,9.9,9.9,9.9
183,강원,춘천명동,춘천명동,8.9,8.9,8.9,8.9,8.9,16.9,8.9
184,강원,태백중앙시장,태백중앙시장,4.7,4.7,4.7,4.7,4.7,4.7,4.7
185,충북,충북,충북,7.0,8.1,8.3,8.9,8.9,9.5,9.1
186,충북,봉명사거리,봉명사거리,0.0,5.3,5.3,5.3,5.3,5.3,5.3
187,충북,제천역,제천역,4.2,4.2,4.2,4.2,4.2,4.2,5.3
188,충북,제천중앙,제천중앙,7.9,16.8,16.8,18.0,18.0,18.0,10.8
189,충북,증평광장로,증평광장로,21.2,21.2,19.4,19.5,19.5,23.8,23.8
190,충북,청주성안길,청주성안길,9.4,10.3,9.7,10.7,9.9,10.1,10.5
191,충북,충북대학교,충북대학교,12.6,12.6,12.6,12.6,12.6,12.6,19.2
192,충북,충주연수칠금,충주연수칠금,5.9,5.9,5.9,7.6,5.8,7.3,7.3
193,충북,충주자유시장,충주자유시장,9.2,9.2,9.2,16.8,16.8,16.8,16.8
194,충남,충남,충남,5.9,6.4,6.8,6.7,7.2,6.7,7.6
195,충남,공주대,공주대,10.1,13.4,13.4,8.6,8.6,8.6,11.1
196,충남,공주웅진동,공주웅진동,5.0,5.0,5.0,5.0,5.0,5.0,5.0
197,충남,논산시외버스터미널,논산시외버스터미널,2.3,2.3,4.9,7.1,6.1,6.1,10.1
198,충남,당진시청,당진시청,7.1,7.1,7.1,3.7,9.7,6.5,3.7
199,충남,두정,두정,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,충남,배방읍,배방읍,0.0,0.0,0.0,0.0,13.0,9.9,9.9
201,충남,보령문화의전당,보령문화의전당,11.9,20.3,11.9,12.5,10.6,9.9,9.9
202,충남,서산터미널,서산터미널,8.2,8.2,9.1,11.6,9.1,9.1,11.6
203,충남,아산온양,아산온양,7.0,6.2,7.8,7.8,6.7,5.0,4.6
204,충남,예산시장,예산시장,19.0,19.0,19.0,19.2,16.0,16.0,20.6
205,충남,천안역,천안역,10.1,7.6,7.6,6.9,7.4,7.4,10.2
206,충남,천안종합버스터미널,천안종합버스터미널,3.5,3.5,3.5,3.5,0.0,7.1,7.1
207,충남,태안터미널,태안터미널,6.6,6.6,7.8,7.8,10.3,10.3,10.3
208,충남,합덕버스터미널,합덕버스터미널,0.0,0.0,0.0,0.0,2.8,2.8,2.8
209,전북,전북,전북,7.2,8.2,7.2,7.2,8.1,8.5,9.4
210,전북,군산수송동조촌동,군산수송동조촌동,1.5,1.5,1.5,1.5,1.5,1.5,1.5
211,전북,군산원도심,군산원도심,15.3,15.3,15.3,11.9,12.9,12.9,12.9
212,전북,김제시장,김제시장,5.0,5.0,5.0,11.1,6.5,6.5,10.9
213,전북,남원광한루,남원광한루,6.7,6.7,4.9,4.9,6.4,6.7,8.1
214,전북,송천동,송천동,15.4,16.3,17.1,14.7,14.7,14.7,16.3
215,전북,영등부송,영등부송,0.0,0.0,0.0,0.0,0.0,0.0,0.0
