No,지역,지역,지역,2024년 3분기,2024년 4분기,2025년 1분기,2025년 2분기,2025년 3분기,2025년 4분기,2026년 1분기
No,지역,지역,지역,공실률,공실률,공실률,공실률,공실률,공실률,공실률
No,지역,지역,지역,%,%,%,%,%,%,%
75,부산,부산,부산,14.0,14.2,14.2,14.5,15.0,15.4,15.3
76,부산,개금역,개금역,11.2,11.2,11.2,16.3,21.3,19.4,19.8
77,부산,경성대/부경대,경성대/부경대,10.1,10.1,8.4,10.8,10.4,11.1,11.1
78,부산,광안리,광안리,10.7,11.6,9.4,11.1,11.1,11.1,11.4
79,부산,구서동/금정구청,구서동/금정구청,8.9,8.9,7.6,8.7,9.8,9.8,10.2
80,부산,남포동,남포동,24.7,23.6,24.5,23.3,23.4,22.2,21.0
81,부산,남항동,남항동,15.8,17.2,18.3,18.3,18.3,19.9,16.3
82,부산,덕천역,덕천역,8.6,11.5,10.3,8.5,8.5,8.9,8.6
83,부산,동래역,동래역,6.6,5.4,5.4,5.4,5.4,5.8,5.8
84,부산,부산대학앞,부산대학앞,18.8,17.5,18.4,22.1,22.6,21.6,23.7
85,부산,부산역,부산역,10.7,10.7,10.7,11.5,11.5,11.5,11.9
86,부산,부전시장,부전시장,14.0,13.5,13.5,13.5,15.3,15.3,15.3
87,부산,사상역,사상역,11.8,11.8,12.8,12.8,12.8,12.9,12.9
88,부산,사직야구장,사직야구장,12.7,12.9,13.4,13.1,11.3,9.9,10.7
89,부산,서면/전포,서면/전포,15.2,16.2,16.5,15.3,14.9,14.3,11.2
90,부산,송정해수욕장,송정해수욕장,13.3,13.3,8.7,8.7,8.7,8.7,20.1
91,부산,수영역,수영역,4.8,4.8,7.1,7.1,5.1,6.8,6.8
92,부산,연산로터리,연산로터리,9.4,13.7,18.6,16.7,19.7,20.0,20.3
93,부산,온천장,온천장,21.5,21.5,21.5,23.3,21.7,23.6,22.0
94,부산,하단역,하단역,24.2,27.2,27.2,26.6,27.2,27.2,20.8
95,부산,해운대,해운대,13.9,13.9,13.9,13.9,17.2,19.1,18.0
96,부산,현대백화점주변,현대백화점주변,20.8,15.2,13.2,12.0,11.8,11.4,10.9
97,대구,대구,대구,15.5,15.9,16.5,17.4,17.5,18.1,18.3
98,대구,경북대북문,경북대북문,16.4,16.8,17.0,17.9,18.3,20.8,19.3
99,대구,계명대,계명대,21.0,21.0,22.1,22.1,22.1,24.9,24.9
100,대구,동대구,동대구,10.7,11.0,12.5,15.0,17.1,16.1,16.1
101,대구,동성로중심,동성로중심,19.8,20.8,20.8,21.8,23.3,26.9,26.3
102,대구,동호지구,동호지구,12.8,11.8,5.1,6.3,4.2,4.2,4.2
103,대구,두류감삼역,두류감삼역,21.2,19.1,21.0,21.0,20.0,19.0,19.3
104,대구,들안길,들안길,9.8,9.8,10.6,10.0,9.1,3.0,5.2
105,대구,삼덕/대봉,삼덕/대봉,7.0,8.1,9.9,10.4,10.0,14.7,12.9
106,대구,상인/월배,상인/월배,19.1,21.5,21.0,19.5,19.5,20.3,22.8
107,대구,서문시장/청라언덕,서문시장/청라언덕,28.3,34.3,34.3,34.3,36.2,36.2,36.2
108,대구,수성범어,수성범어,13.6,14.0,15.6,21.4,15.0,13.8,13.8
109,대구,시지지구,시지지구,14.0,14.3,14.3,11.7,11.7,13.7,14.2
110,대구,월촌/안지랑,월촌/안지랑,14.7,14.7,16.5,16.1,18.7,18.3,18.3
111,대구,죽전역,죽전역,18.1,18.1,18.1,17.7,18.6,21.6,19.4
112,대구,칠곡,칠곡,8.6,8.1,8.1,12.4,16.2,14.2,14.2
113,인천,인천,인천,12.5,12.7,12.4,12.6,13.6,14.2,14.3
114,인천,간석오거리,간석오거리,20.8,24.0,15.6,16.0,16.0,15.6,15.6
115,인천,검단사거리완정역,검단사거리완정역,1.3,1.3,2.5,2.5,1.9,2.9,1.6
116,인천,계양계산,계양계산,7.7,7.7,7.7,9.9,9.9,9.9,8.2
117,인천,구월,구월,8.8,10.2,10.9,10.4,9.7,9.6,9.4
118,인천,부평,부평,16.3,15.6,16.5,18.3,21.7,22.4,21.4
119,인천,석남/가정중앙시장,석남/가정중앙시장,11.3,11.3,11.3,7.0,7.0,7.0,7.0
120,인천,소래포구역,소래포구역,22.2,24.0,24.0,24.0,24.0,24.0,30.1
121,인천,신포동,신포동,20.8,20.5,21.2,24.5,31.6,30.5,30.9
122,인천,연수역,연수역,3.7,3.7,3.7,3.7,5.1,8.3,12.1
123,인천,인천서구청,인천서구청,9.6,8.1,8.1,8.1,7.0,6.6,8.7
124,인천,인하대앞,인하대앞,13.3,13.3,14.6,15.0,18.6,21.4,18.7
125,인천,주안,주안,9.0,9.0,9.0,9.0,9.9,12.2,12.2
126,광주,광주,광주,15.4,16.0,16.2,15.6,15.8,16.2,16.7
127,광주,금남로/충장로,금남로/충장로,25.0,24.4,26.4,25.3,26.4,27.2,26.9
128,광주,금호지구,금호지구,18.6,18.6,18.6,18.6,18.6,18.6,13.8
129,광주,봉선동,봉선동,6.4,7.7,6.8,6.9,6.9,7.6,10.2
130,광주,상무지구,상무지구,19.0,15.8,12.7,12.1,6.2,7.2,12.1
131,광주,송정동지구,송정동지구,13.5,9.8,4.8,4.8,4.7,5.4,6.9
132,광주,양산지구,양산지구,3.7,3.4,4.6,2.5,2.5,2.5,2.5
133,광주,어룡동,어룡동,19.2,19.2,23.0,24.8,24.8,24.8,24.8
134,광주,용봉동,용봉동,13.4,13.4,11.1,7.6,7.6,7.6,9.5
135,광주,우산동,우산동,9.1,9.8,4.7,4.8,4.8,8.2,4.8
136,광주,월산동지구,월산동지구,21.9,23.9,21.8,23.7,23.7,23.7,23.7
137,광주,일곡동,일곡동,2.1,1.3,5.6,5.6,6.4,4.5,3.3
138,광주,전남대,전남대,35.1,37.7,38.1,37.1,39.2,40.1,38.4
139,광주,첨단1지구,첨단1지구,6.8,12.2,11.2,10.4,10.4,11.4,10.8
140,대전,대전,대전,14.6,15.1,15.3,14.9,13.8,13.5,14.3
141,대전,관평동,관평동,16.9,15.3,16.3,16.3,12.2,10.4,14.9
142,대전,노은,노은,14.0,14.0,13.5,13.1,16.5,15.6,18.2
143,대전,대전원도심,대전원도심,20.8,24.0,23.8,21.0,19.8,17.3,17.3
144,대전,둔산,둔산,12.2,11.2,11.3,10.4,7.8,9.4,9.2
145,대전,복합터미널,복합터미널,22.8,25.9,26.2,28.0,22.6,21.4,19.3
146,대전,서대전네거리,서대전네거리,8.2,9.4,10.4,10.4,10.4,10.4,9.6
147,대전,용문/한민시장,용문/한민시장,8.0,9.6,9.3,10.1,10.1,10.1,17.8
148,대전,유성온천역,유성온천역,13.3,13.3,13.3,15.2,15.0,15.0,14.8
149,울산,울산,울산,16.9,17.3,16.0,16.5,17.4,17.2,17.7
150,울산,삼산동,삼산동,12.8,14.0,12.6,13.6,13.6,15.1,16.0
151,울산,성남옥교동,성남옥교동,25.4,26.7,26.7,25.4,22.8,24.2,25.4
152,울산,신정동,신정동,23.5,23.5,23.0,23.0,23.7,21.9,21.9
153,울산,울산농소,울산농소,12.2,12.2,10.6,12.2,18.4,14.9,13.0
154,울산,울산대,울산대,21.2,22.4,16.8,17.1,20.8,23.2,24.3
155,울산,전하동,전하동,16.3,14.9,14.2,16.1,17.4,16.7,16.2
